model,subset,n,term,term_label,beta,ci_lower,ci_upper,se,t_value,p_value,r_squared,adj_r_squared
TP53_only,Grade4_all,442,(Intercept),Intercept,0.8626025587373458,0.7953790687701289,0.9298260487045628,0.03420398494555372,25.21935850780095,1.790316113767607e-87,0.058725284278920646,0.05658602356137277
TP53_only,Grade4_all,442,tp53_bin,TP53 (mutant vs WT),0.31074910006224854,0.19418266282402552,0.42731553730047156,0.059310170691783196,5.239389744418651,2.5039714549793894e-7,0.058725284278920646,0.05658602356137277
TP53+source,Grade4_all,442,(Intercept),Intercept,0.9249730318025199,0.8336938121951556,1.0162522514098842,0.04644348931069103,19.916096863755588,2.3860730181661718e-63,0.06703592455556427,0.06278551874488347
TP53+source,Grade4_all,442,tp53_bin,TP53 (mutant vs WT),0.3079452147679081,0.19172826261419246,0.42416216692162373,0.059131977664681104,5.2077611290826225,2.943833748730764e-7,0.06703592455556427,0.06278551874488347
TP53+source,Grade4_all,442,source_bin,Source (TCGA vs CPTAC/HCMI),-0.11083909370015864,-0.22099885894948865,-6.793284508286312e-4,0.056050039667656475,-1.977502502359834,0.048609910021760794,0.06703592455556427,0.06278551874488347
TP53+source+IDH,Grade4_all,442,(Intercept),Intercept,0.9198056489057189,0.8289615047527473,1.0106497930586904,0.04622182822143696,19.899811069764816,3.0816767939517623e-63,0.07990597004043505,0.07360395613660242
TP53+source+IDH,Grade4_all,442,tp53_bin,TP53 (mutant vs WT),0.261693402200319,0.14045230593336028,0.38293449846727773,0.061687907099367605,4.242215606030858,2.7024072179389612e-5,0.07990597004043505,0.07360395613660242
TP53+source+IDH,Grade4_all,442,source_bin,Source (TCGA vs CPTAC/HCMI),-0.11001572788007231,-0.21954049312750576,-4.909626326388694e-4,0.05572659561562376,-1.9742050750580538,0.048986272057153855,0.07990597004043505,0.07360395613660242
TP53+source+IDH,Grade4_all,442,idh_bin,IDH (mutant vs WT),0.27753984568439033,0.057163908978203504,0.49791578239057716,0.11212807149593733,2.475203951888589,0.01369339501247026,0.07990597004043505,0.07360395613660242
TP53+source,Grade4_IDH_wildtype,410,(Intercept),Intercept,0.921680973434894,0.8301841289475843,1.0131778179222035,0.04654409973091819,19.80231605645693,1.318250672744047e-61,0.05145437679159267,0.04679321893798882
TP53+source,Grade4_IDH_wildtype,410,tp53_bin,TP53 (mutant vs WT),0.25919156513466246,0.13732492450795175,0.38105820576137317,0.06199310049417393,4.180974383738414,3.556274855291178e-5,0.05145437679159267,0.04679321893798882
TP53+source,Grade4_IDH_wildtype,410,source_bin,Source (TCGA vs CPTAC/HCMI),-0.11207126563921004,-0.22367310283077732,-4.6942844764275016e-4,0.056771433698114625,-1.9740784817088723,0.04904858750706657,0.05145437679159267,0.04679321893798882
