model,n,term,beta,se,ci_lower,ci_upper,p_value,r_squared
M_base,442,(Intercept),0.7988,0.0363,0.7274,0.8703,1.2859660063541528e-72,0.3075
M_base,442,tp53_bin,0.2624,0.0536,0.157,0.3678,1.4086234617758951e-6,0.3075
M_base,442,tcell_c,0.2805,0.0412,0.1995,0.3614,3.2078367597922764e-11,0.3075
M_base,442,apm_c,0.183,0.0362,0.1117,0.2542,6.557039292146904e-7,0.3075
M_base,442,source_bin,0.111,0.0485,0.0158,0.2063,0.02247076640569571,0.3075
M_base,442,idh_bin,0.4193,0.0982,0.2262,0.61240000000000006,2.4189284928578786e-5,0.3075
M_int_tcell,442,(Intercept),0.7989,0.0364,0.7275,0.8704,1.620969663372976e-72,0.3082
M_int_tcell,442,tp53_bin,0.2626,0.0537,0.1571,0.3681,1.4059411732627752e-6,0.3082
M_int_tcell,442,tcell_c,0.2664,0.0463,0.1754,0.3574,1.642791392425613e-8,0.3082
M_int_tcell,442,apm_c,0.1823,0.0363,0.111,0.2536,7.38984302956242e-7,0.3082
M_int_tcell,442,source_bin,0.1112,0.0485,0.0159,0.2066,0.02229503333194374,0.3082
M_int_tcell,442,idh_bin,0.4258,0.0988,0.2317,0.62,2.0146872390463695e-5,0.3082
M_int_tcell,442,tp53_bin:tcell_c,0.0527,0.0791,-0.1026,0.2081,0.5051005590485448,0.3082
M_int_apm,442,(Intercept),0.7996,0.0364,0.728,0.8711,1.7324264916988755e-72,0.3079
M_int_apm,442,tp53_bin,0.2624,0.0537,0.1568,0.3679,1.4455937387456646e-6,0.3079
M_int_apm,442,apm_c,0.1721,0.0426,0.0883,0.2558,6.3900938713885535e-05,0.3079
M_int_apm,442,tcell_c,0.2812,0.0412,0.2002,0.3622,3.070689891937487e-11,0.3079
M_int_apm,442,source_bin,0.1095,0.0486,0.0139,0.2051,0.0248083808145548,0.3079
M_int_apm,442,idh_bin,0.4225,0.0985,0.2288,0.6162,2.2270359311426023e-5,0.3079
M_int_apm,442,tp53_bin:apm_c,0.0325,0.0667,-0.0987,0.1637,0.6267388659511623,0.3079
