stratum,gene,n,n_mut,n_wt,beta,se,ci_lower,ci_upper,p_value,r_squared,significant,gene_label,p_adj_BH,is_lag3,stratum_type
All (ref),LAG3,442,147,295,0.2617,NA,0.1405,0.3829,2.7024072179389612e-5,0.0799,TRUE,LAG3,9.458425262786365e-4,TRUE,T-cell
All (ref),PDCD1,442,147,295,-0.0185,0.0661,-0.1484,0.1113,0.7791907926748249,0.1321,FALSE,PDCD1 (PD-1),0.9470961684200834,FALSE,T-cell
All (ref),CD274,442,147,295,-0.0181,0.1066,-0.2277,0.1914,0.8650079804933224,0.1575,FALSE,CD274 (PD-L1),0.9470961684200834,FALSE,T-cell
All (ref),PDCD1LG2,442,147,295,0.0749,0.1,-0.1216,0.2714,0.45426124765160103,0.0811,FALSE,PDCD1LG2 (PD-L2),0.8832857593225576,FALSE,T-cell
All (ref),CTLA4,442,147,295,-0.0682,0.0665,-0.1988,0.0625,0.3055896149449013,0.0188,FALSE,CTLA4,0.8125221029677314,FALSE,T-cell
All (ref),TIGIT,442,147,295,0.0166,0.0561,-0.0936,0.1268,0.7672258093483314,0.3931,FALSE,TIGIT,0.9470961684200834,FALSE,T-cell
All (ref),HAVCR2,442,147,295,-0.112,0.0972,-0.303,0.079,0.24983011363301647,0.0157,FALSE,HAVCR2 (TIM-3),0.8125221029677314,FALSE,T-cell
Tcell_Low,LAG3,67,16,51,0.5087,0.1529,0.2032,0.8143,0.0014665005916584682,0.2593,TRUE,LAG3,0.017109173569348796,TRUE,T-cell
Tcell_Low,PDCD1,67,16,51,0.0743,0.1445,-0.2144,0.363,0.6087794439053578,0.2243,FALSE,PDCD1 (PD-1),0.9470961684200834,FALSE,T-cell
Tcell_Low,CD274,67,16,51,0.1458,0.3052,-0.464,0.7556,0.6344398482859206,0.1503,FALSE,CD274 (PD-L1),0.9470961684200834,FALSE,T-cell
Tcell_Low,PDCD1LG2,67,16,51,0.2468,0.314,-0.3807,0.8743,0.4348067985690298,0.0862,FALSE,PDCD1LG2 (PD-L2),0.8832857593225576,FALSE,T-cell
Tcell_Low,CTLA4,67,16,51,0.005,0.0781,-0.151,0.161,0.9493750774987731,0.0109,FALSE,CTLA4,0.9493750774987731,FALSE,T-cell
Tcell_Low,TIGIT,67,16,51,0.0391,0.1786,-0.3179,0.396,0.8276294052797695,0.5324,FALSE,TIGIT,0.9470961684200834,FALSE,T-cell
Tcell_Low,HAVCR2,67,16,51,0.2891,0.2355,-0.1815,0.7597,0.22415802098433837,0.0657,FALSE,HAVCR2 (TIM-3),0.8125221029677314,FALSE,T-cell
Tcell_High,LAG3,65,17,48,0.5807,0.1884,0.2039,0.9575,0.003085608986655268,0.2028,TRUE,LAG3,0.026999078633233593,TRUE,T-cell
Tcell_High,PDCD1,65,17,48,0.0584,0.2153,-0.3722,0.4889,0.7872720822413274,0.121,FALSE,PDCD1 (PD-1),0.9470961684200834,FALSE,T-cell
Tcell_High,CD274,65,17,48,-0.2728,0.2792,-0.831,0.2854,0.33224153985918903,0.2791,FALSE,CD274 (PD-L1),0.8125221029677314,FALSE,T-cell
Tcell_High,PDCD1LG2,65,17,48,-0.039,0.2171,-0.4731,0.3951,0.8579758043295537,0.0254,FALSE,PDCD1LG2 (PD-L2),0.9470961684200834,FALSE,T-cell
Tcell_High,CTLA4,65,17,48,-0.0768,0.2896,-0.6559,0.5024,0.7918554849757973,0.0076,FALSE,CTLA4,0.9470961684200834,FALSE,T-cell
Tcell_High,TIGIT,65,17,48,0.2715,0.1655,-0.0594,0.6025,0.10601362067198408,0.2766,FALSE,TIGIT,0.5300681033599204,FALSE,T-cell
Tcell_High,HAVCR2,65,17,48,-0.092,0.2078,-0.5075,0.3235,0.6594651373172205,0.0099,FALSE,HAVCR2 (TIM-3),0.9470961684200834,FALSE,T-cell
APM_Low,LAG3,64,24,40,0.4544,0.1116,0.2312,0.6776,1.3870841063784377e-4,0.4176,TRUE,LAG3,0.002427397186162266,TRUE,APM
APM_Low,PDCD1,64,24,40,0.4384,0.192,0.0543,0.8225,0.02598383967214502,0.1656,FALSE,PDCD1 (PD-1),0.17689354636150395,FALSE,APM
APM_Low,CD274,64,24,40,0.1771,0.187,-0.1971,0.5512,0.3475612434287607,0.2107,FALSE,CD274 (PD-L1),0.8125221029677314,FALSE,APM
APM_Low,PDCD1LG2,64,24,40,0.147,0.2159,-0.2849,0.5788,0.4986344051566741,0.0788,FALSE,PDCD1LG2 (PD-L2),0.9185370621307155,FALSE,APM
APM_Low,CTLA4,64,24,40,-0.0622,0.0691,-0.2003,0.076,0.3714386756423915,0.0596,FALSE,CTLA4,0.8125221029677314,FALSE,APM
APM_Low,TIGIT,64,24,40,0.0228,0.1342,-0.2456,0.2912,0.8659164968412191,0.4026,FALSE,TIGIT,0.9470961684200834,FALSE,APM
APM_Low,HAVCR2,64,24,40,-0.2332,0.2125,-0.6583,0.192,0.27697878146321925,0.0918,FALSE,HAVCR2 (TIM-3),0.8125221029677314,FALSE,APM
APM_High,LAG3,60,19,41,0.5446,0.2451,0.0537,1.0356,0.03032460794768639,0.1098,FALSE,LAG3,0.17689354636150395,TRUE,APM
APM_High,PDCD1,60,19,41,0.0906,0.2361,-0.3825,0.5636,0.7028256980217992,0.1881,FALSE,PDCD1 (PD-1),0.9470961684200834,FALSE,APM
APM_High,CD274,60,19,41,-0.3275,0.2666,-0.8615,0.2065,0.22438409867508183,0.192,FALSE,CD274 (PD-L1),0.8125221029677314,FALSE,APM
APM_High,PDCD1LG2,60,19,41,-0.0187,0.2197,-0.4588,0.4215,0.9326055850782784,0.0851,FALSE,PDCD1LG2 (PD-L2),0.9493750774987731,FALSE,APM
APM_High,CTLA4,60,19,41,0.10780000000000001,0.1979,-0.2886,0.5042,0.5879335141912732,0.1226,FALSE,CTLA4,0.9470961684200834,FALSE,APM
APM_High,TIGIT,60,19,41,0.1481,0.1617,-0.1758,0.4719,0.3636053203980475,0.471,FALSE,TIGIT,0.8125221029677314,FALSE,APM
APM_High,HAVCR2,60,19,41,-0.0225,0.2437,-0.5106,0.4656,0.9267478524917708,0.0661,FALSE,HAVCR2 (TIM-3),0.9493750774987731,FALSE,APM
